Date,prcp,tavg,tmax,tmin,wdspavg,wdspmax,sunhour,snowf,snowdmax
2016/8/24,2,22.9,29.8,18.4,1.1,3.1,5.7,0,0
2016/8/25,0.5,24.4,30.7,20,1,2.7,6.7,0,0
2016/8/26,9,23.6,30.4,20.2,1.2,2.5,3.7,0,0
2016/8/27,10.5,18.7,20.4,16.9,0.9,2,0,0,0
2016/8/28,0.5,20.5,24.6,17.3,1.1,2.8,0.1,0,0
2016/8/29,0,22.6,28.9,19.1,1.3,3.9,2.5,0,0
2016/8/30,44.5,17.7,20.9,14.5,0.9,2.4,0.6,0,0
2016/8/31,0,19.5,28.4,12.5,1.3,4,10.8,0,0
2016/9/1,0,19.7,28.1,12,0.9,2.3,9.4,0,0
2016/9/2,0,22.2,29.4,15.9,1,2.7,7.8,0,0
2016/9/3,0,24,29.6,20,1.3,2.7,7.7,0,0
2016/9/4,4,24.1,30.4,20.4,1.3,3.3,7.2,0,0
2016/9/5,15,22.7,28.5,19.9,0.9,2.7,3.1,0,0
2016/9/6,0.5,22.6,28.6,19.4,0.9,2.9,4.2,0,0
2016/9/7,0,22.8,29.4,19.5,0.8,3,3.2,0,0
2016/9/8,19,20.9,23.1,18.3,1,2.6,0,0,0
2016/9/9,0,19.6,24.7,15.9,1.1,3.3,6.7,0,0
2016/9/10,0,19.1,27,14.4,1,3.1,8.1,0,0
2016/9/11,0,20.2,25.4,16.9,0.8,2.6,2.2,0,0
2016/9/12,4.5,20.1,26.2,17.4,0.9,2.2,2.1,0,0
2016/9/13,39.5,19.8,22.9,18.3,0.8,2.3,0,0,0
2016/9/14,0,20,24.7,17.7,0.7,2.9,1.4,0,0
2016/9/15,0,19.6,23.9,17.1,0.8,2.4,2.6,0,0
2016/9/16,0,18.9,23.1,15.8,0.6,1.8,0.1,0,0
2016/9/17,2,18.8,22.8,16,0.6,1.4,0.3,0,0
2016/9/18,76,17.7,19,17,0.3,1.4,0,0,0
2016/9/19,49,16.8,18.9,15.5,0.4,1.9,0,0,0
2016/9/20,65,15.8,16.9,14.9,0.7,1.7,0,0,0
2016/9/21,0.5,17.2,21.4,14.5,0.8,1.8,0.2,0,0
2016/9/22,12.5,16.6,17.9,15.6,0.6,1.4,0,0,0
2016/9/23,2,16.5,18.6,15.2,0.8,2.9,0,0,0
2016/9/24,0,17.4,20,14.9,0.6,1.9,0.9,0,0
2016/9/25,0,18.9,24.8,13.7,0.7,2.2,5,0,0
2016/9/26,3.5,19.4,22.3,17.4,0.5,1.9,0.1,0,0
2016/9/27,0.5,21.7,29,17.1,0.8,2.3,8.6,0,0
2016/9/28,22.5,19.5,21.3,18.5,0.4,2.1,0,0,0
2016/9/29,16.5,16.6,19,12.9,1,2.7,0,0,0
2016/9/30,0.5,16,24.1,10.6,0.6,1.9,6.1,0,0
2016/10/1,5.5,17.2,22.8,13.5,0.7,2.7,1.8,0,0
2016/10/2,1,19.9,25.9,16.8,0.6,2.2,3.2,0,0
2016/10/3,1,19.8,23.2,16.5,0.8,3.1,0,0,0
2016/10/4,0,17.3,23.3,13.8,1,2.9,3.8,0,0
2016/10/5,1,18.5,27.7,13.1,1.7,6,1,0,0
2016/10/6,0,16.7,24.6,12.7,1.7,7.4,1.1,0,0
2016/10/7,0,14.3,20.5,11.3,1.2,2.5,9.6,0,0
2016/10/8,11,15.8,17.9,12.8,0.6,1.6,0,0,0
2016/10/9,22,13.6,17.4,9.6,1.2,3.9,1.3,0,0
2016/10/10,0,10.9,15.5,8.3,1.1,2.9,3,0,0
2016/10/11,0,11.7,16.6,8.7,0.8,2.1,1.8,0,0
2016/10/12,0,10.3,17.4,5.9,1,3,3.9,0,0
2016/10/13,0,9.7,15.5,6.3,0.9,3.2,4.4,0,0
2016/10/14,0,9.2,18.6,4,0.8,2.3,8,0,0
2016/10/15,0,9.7,19.9,1.8,0.8,2.3,9.6,0,0
2016/10/16,1.5,12.2,20.8,4.1,1.1,3.6,8.7,0,0
2016/10/17,24,14.2,17.5,11.6,0.7,3.2,0.5,0,0
2016/10/18,0,15.9,22.4,11.8,0.9,2.8,3,0,0
2016/10/19,0,17.2,23.1,14.7,0.7,2.5,4.4,0,0
2016/10/20,0,14.1,20.3,9.9,1.1,3.6,7.3,0,0
2016/10/21,0,10,15.5,7,0.8,2.9,4.7,0,0
2016/10/22,0,11.3,17.9,6,0.7,2.5,3.6,0,0
2016/10/23,0,10.3,14.3,7.1,1.4,3,1.6,0,0
2016/10/24,0,7.3,12.9,1.6,1.1,2.8,8.1,0,0
2016/10/25,30,7.2,12.6,-0.1,0.9,3.7,2.3,0,0
2016/10/26,3,13.8,20.1,9.2,1.2,3,6.3,0,0
2016/10/27,0,9,13,3,1.2,2.7,7.3,0,0
2016/10/28,26,8.3,13.1,2.8,0.7,1.8,0.1,0,0
2016/10/29,0.5,8.1,12,5.3,1.6,3,3.2,0,0
2016/10/30,0,6.9,13.2,1.9,1,2.7,7.7,0,0
2016/10/31,0,8.3,15.5,1.5,0.8,2.5,5.3,0,0
2016/11/1,0,7,16.4,3.8,1.4,4.8,2.7,0,0
2016/11/2,0,5.9,12.8,1.6,1.1,2.6,4.5,0,0
2016/11/3,0,4.6,9.9,0.8,1.2,3.4,1.6,0,0
2016/11/4,0,5.9,12.1,0.2,1.1,2.9,8,0,0
2016/11/5,0,6.5,17.9,-1.2,0.8,3.2,8.7,0,0
2016/11/6,0,5.6,9.3,3.4,1.2,3.2,0.1,0,0
2016/11/7,0,5.9,14.2,0.4,1,2.7,8.6,0,0
2016/11/8,4,7,17.8,0.1,1.3,3,5.7,0,0
2016/11/9,0.5,1.3,3.5,0.4,2.1,4,0.5,0,0
2016/11/10,0,2.4,6.6,-2,0.9,2.1,1.8,0,0
2016/11/11,10.5,6.7,12.8,2.4,0.8,2.3,1.5,0,0
2016/11/12,0,7.2,14.8,1.8,0.8,2.6,8.2,0,0
2016/11/13,0,7.5,18.5,-0.4,0.9,3.3,8.5,0,0
2016/11/14,8,8.9,16.2,2.8,0.7,2.8,1.4,0,0
2016/11/15,8.5,8.9,15.4,3.9,1.4,3.5,1.3,0,0
2016/11/16,0,3.1,6.5,-0.7,1.2,2.9,1.7,0,0
2016/11/17,0,2.6,7.6,-1.6,1.1,2.7,0,0,0
2016/11/18,0,4.8,15,-2,1,3.3,8.3,0,0
2016/11/19,15.5,7.2,9.4,3,0.6,1.8,0,0,0
2016/11/20,0,9.8,15.1,6.5,1.2,3.7,3.3,0,0
2016/11/21,0,9.6,12.4,6.5,0.9,2.4,0.8,0,0
2016/11/22,0.5,9,11.8,4.7,1.4,3.8,0.3,0,0
2016/11/23,0,1,4.7,-1.1,2,3.4,0.4,0,0
2016/11/24,1,-0.8,2.5,-3.8,0.8,2.5,0.6,0,0
2016/11/25,0,0.6,5.7,-3.9,0.9,2.5,4,0,0
2016/11/26,2.5,3.9,9.2,1.6,1.1,2.9,4.8,0,0
2016/11/27,14.5,5.9,9.7,2.9,0.5,2.2,0.2,0,0
2016/11/28,2,3,7.1,0.4,1.7,3.6,0,0,0
2016/11/29,0,2,5.1,0.3,1.9,3.7,1.4,0,0
2016/11/30,0,2.2,6.6,-0.9,0.9,2.3,1.9,0,0
2016/12/1,3,6.5,12.5,2,1.1,4.2,2,0,0
2016/12/2,1,2.8,7.9,-2,1.6,3.9,8.2,0,0
2016/12/3,0,2.6,12.6,-3.6,0.6,1.7,8.1,0,0
2016/12/4,1,4.2,12.6,-2.8,0.6,1.3,4.3,0,0
2016/12/5,1,7.4,14.1,3.4,1.3,5,6.1,0,0
2016/12/6,11.5,1.4,6.9,-0.9,2.1,5.1,0,0,0
2016/12/7,0,1.1,4.2,-0.9,1.1,2.9,2.1,0,0
2016/12/8,11.5,0.2,5.1,-3.9,0.8,2.4,6.4,10,10
2016/12/9,14,0,2.1,-3.5,0.8,3,0,0,0
2016/12/10,2,-1.4,0.8,-3.5,1,3.2,0.3,0,0
2016/12/11,0,-2.3,-0.9,-4.8,1.5,3.2,0.4,0,0
2016/12/12,0,-3.2,3.8,-9.4,0.6,1.6,7.8,0,0
2016/12/13,11,1.1,4.2,-3.5,0.3,1.3,0,1,1
2016/12/14,8,0.9,3.5,-2.4,2.4,5,0.3,0,0
2016/12/15,0,-1.9,1.8,-4.6,1.5,3.8,7.1,0,0
2016/12/16,0,-3,-1.5,-4.3,1.7,3.9,2.1,0,0
2016/12/17,5.5,-1.1,2.3,-4.2,1,3.3,0.4,9,8
2016/12/18,0,-1.3,7.7,-7.9,0.8,1.8,6.2,0,2
2016/12/19,0,0.8,9.5,-4.7,0.9,2.6,7.7,0,0
2016/12/20,0,2.3,10.5,-2.2,0.7,2.3,3.8,0,0
2016/12/21,0,2.4,13.2,-3,0.8,2.4,7,0,0
2016/12/22,17.5,5.8,12.2,-1.9,1.3,4.7,0.3,0,0
2016/12/23,8,3.5,10.3,-0.1,2.1,3.9,0,0,0
2016/12/24,0.5,-0.4,1.2,-2.9,1.5,3.4,1,0,0
2016/12/25,0,-1.3,4.4,-4.9,0.8,3.6,7.2,0,0
2016/12/26,0.5,0.9,7.3,-4.6,0.7,1.9,3.1,0,0
2016/12/27,38.5,1.7,4.8,-2.3,2.3,5,0,5,5
2016/12/28,3,-3.2,-1.4,-6.7,2,4.6,4.3,5,9
2016/12/29,0.5,-2.4,5.2,-9.2,1.4,3.7,5.5,0,2
2016/12/30,0.5,-4.1,-0.4,-9.6,1.8,4,2.5,0,0
2016/12/31,0,-3.2,3.6,-11,0.6,1.4,3.3,0,0
2017/1/1,0,0.1,5.3,-4.3,0.9,3,5.4,0,0
2017/1/2,0,0.8,7.8,-5.1,0.8,2.8,4.1,0,0
2017/1/3,1.5,0.1,2.7,-4,1.4,3.5,0.1,0,0
2017/1/4,1,0.6,6.3,-3.7,2.3,6.7,0.3,0,0
2017/1/5,1,-1.7,1.1,-4.2,2.6,3.9,3.9,1,1
2017/1/6,0,-2.5,1.9,-7,1.1,3.2,4.3,0,1
2017/1/7,0,-3.5,3.6,-9.2,0.7,3.4,7.9,0,0
2017/1/8,6,-1.6,3.9,-7.6,0.8,3.6,0,6,6
2017/1/9,3.5,1.7,6,-0.1,1,3.2,4.2,2,5
2017/1/10,4,1,6.1,-1.3,1.8,4.1,3,0,0
2017/1/11,0,-1.4,1.4,-2.7,1.9,4,0,0,0
